time,lat,lon,forest_class,confidence,telemetry
2026-08-11 20:47:22.974140,10.7623,106.6821,medium,0.476,)@
2026-08-11 20:47:26.197116,10.7623,106.6821,medium,0.385,)@
2026-08-11 20:47:29.973362,10.7623,106.6821,sparse,0.432,)@
2026-08-11 20:47:33.153967,10.7623,106.6821,sparse,0.432,)@
2026-08-11 20:47:36.201364,10.7623,106.6821,sparse,0.432,)@
2026-08-11 20:47:39.378076,10.7623,106.6821,sparse,0.434,)@
2026-08-11 20:47:42.503552,10.7623,106.6821,medium,0.536,)@
2026-08-11 20:47:45.984101,10.7623,106.6821,dense,0.419,)@
2026-08-11 20:47:49.338645,10.7623,106.6821,sparse,0.49,)@
2026-08-11 20:47:52.838770,10.7623,106.6821,medium,0.522,)@
2026-08-11 20:47:56.525924,10.7623,106.6821,dense,0.461,)@
2026-08-11 20:48:00.142964,10.7623,106.6821,dense,0.521,)@
2026-08-11 20:48:03.446241,10.7623,106.6821,dense,0.522,)@
2026-08-11 20:48:06.978786,10.7623,106.6821,medium,0.425,)@
2026-08-11 20:48:10.621705,10.7623,106.6821,dense,0.465,)@
2026-08-11 20:48:14.229046,10.7623,106.6821,medium,0.445,)@
2026-08-11 20:48:17.745339,10.7623,106.6821,medium,0.421,)@
2026-08-11 20:48:21.297767,10.7623,106.6821,medium,0.397,)@
2026-08-11 20:48:24.804404,10.7623,106.6821,medium,0.606,)@
2026-08-11 20:48:28.133403,10.7623,106.6821,medium,0.721,)@
2026-08-11 20:48:31.879230,10.7623,106.6821,medium,0.417,)@
2026-08-11 20:48:35.570332,10.7623,106.6821,medium,0.523,)@
2026-08-11 20:48:39.124271,10.7623,106.6821,medium,0.504,)@
2026-08-11 20:48:42.272800,10.7623,106.6821,medium,0.496,)@
2026-08-11 20:48:45.490711,10.7623,106.6821,medium,0.504,)@
2026-08-11 20:48:48.661047,10.7623,106.6821,medium,0.5,)@
2026-08-11 20:52:57.705355,10.7623,106.6821,medium,0.506,NO DATA
2026-08-11 20:52:59.807086,10.7623,106.6821,medium,0.506,NO DATA
2026-08-11 20:53:01.909898,10.7623,106.6821,medium,0.498,NO DATA
2026-08-11 20:53:04.298426,10.7623,106.6821,medium,0.354,NO DATA
2026-08-11 20:53:06.897781,10.7623,106.6821,medium,0.399,NO DATA
2026-08-11 21:51:05.734281,10.7623,106.6821,dense,0.402,NO DATA
2026-08-11 21:51:08.247571,10.7623,106.6821,dense,0.468,NO DATA
2026-08-11 21:51:10.538128,10.7623,106.6821,dense,0.473,NO DATA
2026-08-11 21:51:12.699174,10.7623,106.6821,medium,0.387,NO DATA
2026-08-11 21:51:52.606199,10.7623,106.6821,dense,0.432,NO DATA
2026-08-11 21:51:54.689278,10.7623,106.6821,dense,0.453,NO DATA
2026-08-11 21:53:44.795158,10.7623,106.6821,dense,0.429,NO DATA
2026-08-11 21:53:46.650901,10.7623,106.6821,dense,0.391,NO DATA
2026-08-11 21:53:48.484392,10.7623,106.6821,dense,0.374,NO DATA
2026-08-11 21:53:50.267564,10.7623,106.6821,dense,0.41,NO DATA
2026-08-11 21:53:51.847858,10.7623,106.6821,dense,0.419,NO DATA
2026-08-11 21:53:53.426906,10.7623,106.6821,dense,0.419,NO DATA
2026-08-11 21:54:22.540281,10.7623,106.6821,dense,0.414,NO DATA
2026-08-11 21:54:24.417152,10.7623,106.6821,dense,0.412,NO DATA
2026-08-11 21:54:46.761133,10.7623,106.6821,dense,0.41,NO DATA
2026-08-11 21:55:15.332133,10.7623,106.6821,dense,0.41,NO DATA
2026-08-11 21:55:17.438619,10.7623,106.6821,dense,0.41,NO DATA
2026-08-11 21:55:19.543872,10.7623,106.6821,dense,0.408,NO DATA
2026-08-11 21:55:21.575354,10.7623,106.6821,dense,0.408,NO DATA
2026-08-11 21:55:23.507870,10.7623,106.6821,dense,0.408,NO DATA
2026-08-11 21:55:25.328307,10.7623,106.6821,dense,0.408,NO DATA
2026-08-11 21:55:27.143838,10.7623,106.6821,dense,0.408,NO DATA
2026-08-11 21:55:46.331710,10.7623,106.6821,dense,0.407,NO DATA
2026-08-11 21:56:30.910409,10.7623,106.6821,medium,0.446,NO DATA
2026-08-11 21:56:48.922742,10.7623,106.6821,medium,0.445,NO DATA
2026-08-11 21:56:51.028357,10.7623,106.6821,medium,0.444,NO DATA
2026-08-11 21:56:53.088538,10.7623,106.6821,medium,0.444,NO DATA
2026-08-11 21:56:55.219331,10.7623,106.6821,medium,0.439,NO DATA
2026-08-11 21:56:57.262586,10.7623,106.6821,dense,0.408,NO DATA
2026-08-11 21:56:59.422589,10.7623,106.6821,medium,0.602,NO DATA
2026-08-11 21:57:01.436862,10.7623,106.6821,medium,0.602,NO DATA
2026-08-11 21:57:03.475796,10.7623,106.6821,medium,0.602,NO DATA
2026-08-11 21:57:05.215888,10.7623,106.6821,medium,0.598,NO DATA
