epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,5.73112,1.1484,0.22222,1,1.26808,2.858e-05,2.858e-05,2.858e-05
2,11.6751,1.06416,0.22222,1,1.2277,7.00353e-05,7.00353e-05,7.00353e-05
3,16.9948,0.97181,0.33333,1,1.1646,0.000109793,0.000109793,0.000109793
4,22.4993,1.03431,0.55556,1,1.0894,0.000147853,0.000147853,0.000147853
5,28.0571,1.01654,0.44444,1,0.99237,0.000184215,0.000184215,0.000184215
6,33.4626,0.89008,0.33333,1,0.92465,0.00021888,0.00021888,0.00021888
7,38.8068,0.87076,0.33333,1,0.83149,0.000251847,0.000251847,0.000251847
8,44.1608,0.89059,0.44444,1,0.77265,0.000283116,0.000283116,0.000283116
9,49.643,0.95132,0.66667,1,0.67421,0.000312688,0.000312688,0.000312688
10,54.9691,0.89284,0.77778,1,0.61863,0.000340562,0.000340562,0.000340562
11,60.3329,0.64599,0.88889,1,0.51208,0.000366739,0.000366739,0.000366739
12,65.8076,0.68229,1,1,0.4697,0.000391217,0.000391217,0.000391217
13,71.3069,0.70773,1,1,0.37367,0.000413998,0.000413998,0.000413998
14,76.6958,0.64068,1,1,0.32062,0.000435082,0.000435082,0.000435082
15,82.0293,0.60242,1,1,0.23242,0.000454468,0.000454468,0.000454468
16,87.3596,0.49704,1,1,0.18936,0.000472156,0.000472156,0.000472156
17,92.6782,0.54414,1,1,0.12971,0.000488146,0.000488146,0.000488146
18,98.0462,0.43798,1,1,0.10953,0.000502439,0.000502439,0.000502439
19,103.447,0.61368,1,1,0.09165,0.000515034,0.000515034,0.000515034
20,108.798,0.48366,1,1,0.07099,0.000525932,0.000525932,0.000525932
21,114.541,0.4009,1,1,0.05905,0.000535132,0.000535132,0.000535132
22,120.691,0.37866,1,1,0.04833,0.000542634,0.000542634,0.000542634
23,128.881,0.39456,1,1,0.04388,0.000548439,0.000548439,0.000548439
24,136.031,0.29618,1,1,0.03759,0.000552546,0.000552546,0.000552546
25,143.24,0.59851,1,1,0.03433,0.000554955,0.000554955,0.000554955
26,150.417,0.32078,1,1,0.02841,0.000555667,0.000555667,0.000555667
27,157.831,0.29479,1,1,0.02555,0.000554681,0.000554681,0.000554681
28,164.54,0.3696,1,1,0.02241,0.000551997,0.000551997,0.000551997
29,171.1,0.18391,1,1,0.02241,0.000547616,0.000547616,0.000547616
30,177.787,0.25791,1,1,0.01974,0.000541537,0.000541537,0.000541537
31,184.991,0.20202,1,1,0.01315,0.00053376,0.00053376,0.00053376
32,191.708,0.31377,1,1,0.00913,0.000524286,0.000524286,0.000524286
33,198.831,0.24716,1,1,0.00913,0.000513114,0.000513114,0.000513114
34,205.583,0.23249,1,1,0.00745,0.000495291,0.000495291,0.000495291
35,212.193,0.20288,1,1,0.0068,0.000466997,0.000466997,0.000466997
36,218.799,0.1575,1,1,0.00641,0.000438703,0.000438703,0.000438703
37,225.393,0.15262,1,1,0.00641,0.000410409,0.000410409,0.000410409
38,232.011,0.15791,1,1,0.00521,0.000382115,0.000382115,0.000382115
39,238.964,0.14205,1,1,0.00483,0.00035382,0.00035382,0.00035382
40,245.98,0.09965,1,1,0.00584,0.000325526,0.000325526,0.000325526
41,253.53,0.13842,1,1,0.00584,0.000297232,0.000297232,0.000297232
42,261.043,0.1808,1,1,0.00631,0.000268938,0.000268938,0.000268938
43,268.051,0.10963,1,1,0.00489,0.000240644,0.000240644,0.000240644
44,275.383,0.13135,1,1,0.0053,0.000212349,0.000212349,0.000212349
45,282.712,0.27322,1,1,0.0053,0.000184055,0.000184055,0.000184055
46,289.874,0.14745,1,1,0.00503,0.000155761,0.000155761,0.000155761
47,296.89,0.16096,1,1,0.00545,0.000127467,0.000127467,0.000127467
48,304.433,0.11552,1,1,0.00475,9.91726e-05,9.91726e-05,9.91726e-05
49,312.224,0.11302,1,1,0.00475,7.08784e-05,7.08784e-05,7.08784e-05
50,320.198,0.10951,1,1,0.00554,4.25842e-05,4.25842e-05,4.25842e-05
